"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[21972]",,"3396","7324","0","-2.19351","-8.54484","0.2","24.1511","-0.638672","-0.495117","0.588867","201","255"
"[21973]",,"3411","7324","0","-2.17494","-8.64412","0.2","24.1293","-0.415283","0.343262","-0.842773","201","255"
"[21974]",,"3405","7324","0","-2.19163","-8.60864","0.2","24.1325","-0.621094","0.016037","0.783691","201","255"
"[21975]",,"3405","7325","0","-2.19163","-8.60864","0.2","24.1325","-0.621094","0.016037","0.783691","201","255"
"[21976]",,"3468","7325","0","-2.18278","-8.61253","0.2","24.1837","-0.00554657","-0.523438","0.851562","201","255"
"[21977]",,"3396","7325","0","-2.19351","-8.54484","0.2","24.1511","-0.638672","-0.495117","0.588867","201","255"
"[21978]",,"3400","7326","0","-2.17807","-8.629","0.2","24.2417","-0.351318","-0.708008","0.612793","201","255"
"[21979]",,"3403","7326","0","-2.15108","-8.80775","0.2","24.198","-0.368164","-0.92334","0.107178","201","255"
"[21980]",,"3453","7326","0","-2.16568","-8.7351","0.2","24.2812","-0.269775","-0.479736","0.834961","201","255"
"[21981]",,"3403","7327","0","-2.15108","-8.80775","0.2","24.198","-0.368164","-0.92334","0.107178","201","255"
"[21982]",,"3400","7327","0","-2.17807","-8.629","0.2","24.2417","-0.351318","-0.708008","0.612793","201","255"
"[21983]",,"3454","7327","0","-2.16529","-8.71304","0.2","24.1919","0.30957","-0.272217","0.911133","201","255"
"[21984]",,"3401","7328","0","-2.17287","-8.70278","0.2","24.1634","-0.00530624","-0.358887","0.933594","201","255"
"[21985]",,"3403","7328","0","-2.15108","-8.80775","0.2","24.198","-0.368164","-0.92334","0.107178","201","255"
"[21986]",,"3454","7328","0","-2.16529","-8.71304","0.2","24.1919","0.30957","-0.272217","0.911133","201","255"
"[21987]",,"3403","7329","0","-2.15108","-8.80775","0.2","24.198","-0.368164","-0.92334","0.107178","201","255"
"[21988]",,"3401","7329","0","-2.17287","-8.70278","0.2","24.1634","-0.00530624","-0.358887","0.933594","201","255"
"[21989]",,"3399","7329","0","-2.14946","-8.70879","0.2","24.1224","-0.674316","-0.522949","-0.521973","201","255"
"[21990]",,"3411","7330","0","-2.17494","-8.64412","0.2","24.1293","-0.415283","0.343262","-0.842773","201","255"
"[21991]",,"3403","7330","0","-2.15108","-8.80775","0.2","24.198","-0.368164","-0.92334","0.107178","201","255"
"[21992]",,"3399","7330","0","-2.14946","-8.70879","0.2","24.1224","-0.674316","-0.522949","-0.521973","201","255"
"[21993]",,"3403","7331","0","-2.15108","-8.80775","0.2","24.198","-0.368164","-0.92334","0.107178","201","255"
"[21994]",,"3411","7331","0","-2.17494","-8.64412","0.2","24.1293","-0.415283","0.343262","-0.842773","201","255"
"[21995]",,"3449","7331","0","-2.13897","-8.78278","0.2","24.2095","-0.535645","-0.260986","-0.803223","201","255"
"[21996]",,"3468","7332","0","-2.18278","-8.61253","0.2","24.1837","-0.00554657","-0.523438","0.851562","201","255"
"[21997]",,"3454","7332","0","-2.16529","-8.71304","0.2","24.1919","0.30957","-0.272217","0.911133","201","255"
"[21998]",,"3400","7332","0","-2.17807","-8.629","0.2","24.2417","-0.351318","-0.708008","0.612793","201","255"
"[21999]",,"3454","7333","0","-2.16529","-8.71304","0.2","24.1919","0.30957","-0.272217","0.911133","201","255"
"[22000]",,"3468","7333","0","-2.18278","-8.61253","0.2","24.1837","-0.00554657","-0.523438","0.851562","201","255"
"[22001]",,"3401","7333","0","-2.17287","-8.70278","0.2","24.1634","-0.00530624","-0.358887","0.933594","201","255"
