"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[1815]",,"2503","605","0","-4.94194","-8.84849","0.2","26.2954","0.923828","-0.275635","-0.266357","201","255"
"[1816]",,"1612","605","0","-4.94115","-8.77481","0.2","26.2921","0.791992","-0.162964","-0.588379","201","255"
"[1817]",,"1745","605","0","-4.96614","-8.76954","0.2","26.3226","0.727539","-0.435059","-0.529785","201","255"
"[1818]",,"1612","606","0","-4.94115","-8.77481","0.2","26.2921","0.791992","-0.162964","-0.588379","201","255"
"[1819]",,"1349","606","0","-4.94334","-8.68794","0.2","26.3287","0.636719","-0.578125","-0.510254","201","255"
"[1820]",,"1745","606","0","-4.96614","-8.76954","0.2","26.3226","0.727539","-0.435059","-0.529785","201","255"
"[1821]",,"1349","607","0","-4.94334","-8.68794","0.2","26.3287","0.636719","-0.578125","-0.510254","201","255"
"[1822]",,"1717","607","0","-5.03195","-8.59235","0.2","26.3566","0.958984","-0.196899","-0.2052","201","255"
"[1823]",,"1745","607","0","-4.96614","-8.76954","0.2","26.3226","0.727539","-0.435059","-0.529785","201","255"
"[1824]",,"1717","608","0","-5.03195","-8.59235","0.2","26.3566","0.958984","-0.196899","-0.2052","201","255"
"[1825]",,"1349","608","0","-4.94334","-8.68794","0.2","26.3287","0.636719","-0.578125","-0.510254","201","255"
"[1826]",,"1669","608","0","-4.99554","-8.53348","0.2","26.3548","0.98877","-0.137817","-0.0557251","201","255"
"[1827]",,"1669","609","0","-4.99554","-8.53348","0.2","26.3548","0.98877","-0.137817","-0.0557251","201","255"
"[1828]",,"1558","609","0","-5.07033","-8.45082","0.2","26.3298","0.867676","0.48291","0.119812","201","255"
"[1829]",,"1717","609","0","-5.03195","-8.59235","0.2","26.3566","0.958984","-0.196899","-0.2052","201","255"
"[1830]",,"1558","610","0","-5.07033","-8.45082","0.2","26.3298","0.867676","0.48291","0.119812","201","255"
"[1831]",,"1669","610","0","-4.99554","-8.53348","0.2","26.3548","0.98877","-0.137817","-0.0557251","201","255"
"[1832]",,"1744","610","0","-5.00624","-8.41535","0.2","26.3112","0.796387","0.579102","0.174194","201","255"
"[1833]",,"1744","611","0","-5.00624","-8.41535","0.2","26.3112","0.796387","0.579102","0.174194","201","255"
"[1834]",,"1743","611","0","-5.02367","-8.35732","0.2","26.2397","0.34375","0.913086","0.218628","201","255"
"[1835]",,"1558","611","0","-5.07033","-8.45082","0.2","26.3298","0.867676","0.48291","0.119812","201","255"
"[1836]",,"1743","612","0","-5.02367","-8.35732","0.2","26.2397","0.34375","0.913086","0.218628","201","255"
"[1837]",,"1643","612","0","-5.15545","-8.51897","0.2","26.2398","0.393799","0.740234","0.544434","201","255"
"[1838]",,"1558","612","0","-5.07033","-8.45082","0.2","26.3298","0.867676","0.48291","0.119812","201","255"
"[1839]",,"1643","613","0","-5.15545","-8.51897","0.2","26.2398","0.393799","0.740234","0.544434","201","255"
"[1840]",,"1743","613","0","-5.02367","-8.35732","0.2","26.2397","0.34375","0.913086","0.218628","201","255"
"[1841]",,"1605","613","0","-5.10548","-8.46745","0.2","26.1562","-0.0504761","0.854492","0.51709","201","255"
"[1842]",,"1743","614","0","-5.02367","-8.35732","0.2","26.2397","0.34375","0.913086","0.218628","201","255"
"[1843]",,"2419","614","0","-5.06054","-8.47571","0.2","26.1148","-0.316895","0.816895","0.481445","201","255"
"[1844]",,"1605","614","0","-5.10548","-8.46745","0.2","26.1562","-0.0504761","0.854492","0.51709","201","255"
"[1845]",,"1612","615","0","-4.94115","-8.77481","0.2","26.2921","0.791992","-0.162964","-0.588379","201","255"
"[1846]",,"1639","615","0","-4.88026","-8.65545","0.2","26.2787","0.395508","-0.63916","-0.659668","201","255"
"[1847]",,"1349","615","0","-4.94334","-8.68794","0.2","26.3287","0.636719","-0.578125","-0.510254","201","255"
"[1848]",,"1639","616","0","-4.88026","-8.65545","0.2","26.2787","0.395508","-0.63916","-0.659668","201","255"
"[1849]",,"1612","616","0","-4.94115","-8.77481","0.2","26.2921","0.791992","-0.162964","-0.588379","201","255"
"[1850]",,"1613","616","0","-4.87666","-8.73131","0.2","26.2668","0.655762","0.0687256","-0.751953","201","255"
"[1851]",,"2419","617","0","-5.06054","-8.47571","0.2","26.1148","-0.316895","0.816895","0.481445","201","255"
"[1852]",,"1743","617","0","-5.02367","-8.35732","0.2","26.2397","0.34375","0.913086","0.218628","201","255"
"[1853]",,"1765","617","0","-4.97271","-8.33826","0.2","26.175","-0.0411682","0.978027","0.204956","201","255"
"[1854]",,"1760","618","0","-4.98596","-8.36362","0.2","26.2648","0.448975","0.852539","0.267334","201","255"
"[1855]",,"1765","618","0","-4.97271","-8.33826","0.2","26.175","-0.0411682","0.978027","0.204956","201","255"
