"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD_C0","TEXCOORD_C1","TEXCOORD1_C0","TEXCOORD1_C1","TEXCOORD1_C2","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD2_C3","TEXCOORD3_C0","TEXCOORD3_C1","TEXCOORD3_C2","TEXCOORD3_C3","TEXCOORD4"
"[31422]",,"3003","10474","0","-6.42979","-20.34","0.2","23.7825","2.11328","0.216919","-6.32823","-20.0947","23.3633","-0.375","0.917969","0.129028","1","-0.710449","-0.192993","-0.676758","-0.995605","196727"
"[31423]",,"3840","10474","0","-6.23417","-20.6044","0.2","23.7207","2.13281","0.211792","-6.13032","-20.337","23.2828","-0.198608","0.956543","0.2146","1","-0.874023","-0.0733643","-0.480713","-0.967285","196727"
"[31424]",,"2988","10474","0","-6.31174","-20.2194","0.2","23.7586","2.11523","0.224487","-6.21318","-19.9631","23.3457","-0.185181","0.954102","0.234741","1","-0.867676","-0.0478516","-0.494629","-0.969238","196727"
"[31425]",,"2988","10475","0","-6.31174","-20.2194","0.2","23.7586","2.11523","0.224487","-6.21318","-19.9631","23.3457","-0.185181","0.954102","0.234741","1","-0.867676","-0.0478516","-0.494629","-0.969238","196727"
"[31426]",,"3840","10475","0","-6.23417","-20.6044","0.2","23.7207","2.13281","0.211792","-6.13032","-20.337","23.2828","-0.198608","0.956543","0.2146","1","-0.874023","-0.0733643","-0.480713","-0.967285","196727"
"[31427]",,"2786","10475","0","-6.16817","-20.5139","0.2","23.7024","2.13477","0.217896","-6.06683","-20.24","23.2704","-0.285645","0.93457","0.212036","1","-0.845215","-0.130859","-0.518555","-0.982422","196727"
"[31428]",,"3840","10476","0","-6.23417","-20.6044","0.2","23.7207","2.13281","0.211792","-6.13032","-20.337","23.2828","-0.198608","0.956543","0.2146","1","-0.874023","-0.0733643","-0.480713","-0.967285","196727"
"[31429]",,"3331","10476","0","-6.01529","-20.924","0.2","23.6227","2.1543","0.206787","-5.90958","-20.6263","23.1631","-0.279053","0.932129","0.22998","1","-0.824707","-0.101868","-0.556641","-0.984375","196727"
"[31430]",,"2786","10476","0","-6.16817","-20.5139","0.2","23.7024","2.13477","0.217896","-6.06683","-20.24","23.2704","-0.285645","0.93457","0.212036","1","-0.845215","-0.130859","-0.518555","-0.982422","196727"
"[31431]",,"3331","10477","0","-6.01529","-20.924","0.2","23.6227","2.1543","0.206787","-5.90958","-20.6263","23.1631","-0.279053","0.932129","0.22998","1","-0.824707","-0.101868","-0.556641","-0.984375","196727"
"[31432]",,"5170","10477","0","-6.08885","-20.4462","0.2","23.7141","2.13672","0.223633","-5.98878","-20.1686","23.2845","-0.448242","0.87793","0.168579","1","-0.691895","-0.212769","-0.689941","-0.993652","196727"
"[31433]",,"2786","10477","0","-6.16817","-20.5139","0.2","23.7024","2.13477","0.217896","-6.06683","-20.24","23.2704","-0.285645","0.93457","0.212036","1","-0.845215","-0.130859","-0.518555","-0.982422","196727"
"[31434]",,"5170","10478","0","-6.08885","-20.4462","0.2","23.7141","2.13672","0.223633","-5.98878","-20.1686","23.2845","-0.448242","0.87793","0.168579","1","-0.691895","-0.212769","-0.689941","-0.993652","196727"
"[31435]",,"3331","10478","0","-6.01529","-20.924","0.2","23.6227","2.1543","0.206787","-5.90958","-20.6263","23.1631","-0.279053","0.932129","0.22998","1","-0.824707","-0.101868","-0.556641","-0.984375","196727"
"[31436]",,"5169","10478","0","-5.92902","-20.8062","0.2","23.6598","2.15625","0.214966","-5.82481","-20.51","23.206","-0.512207","0.85498","0.0773926","1","-0.601074","-0.280273","-0.748047","-0.977539","196727"
"[31437]",,"3088","10479","0","-5.83119","-20.6879","0.2","23.7162","2.16016","0.224609","-5.72803","-20.3946","23.2662","-0.512695","0.847168","0.139038","1","-0.621094","-0.246704","-0.744141","-0.977539","196727"
"[31438]",,"5170","10479","0","-6.08885","-20.4462","0.2","23.7141","2.13672","0.223633","-5.98878","-20.1686","23.2845","-0.448242","0.87793","0.168579","1","-0.691895","-0.212769","-0.689941","-0.993652","196727"
"[31439]",,"5169","10479","0","-5.92902","-20.8062","0.2","23.6598","2.15625","0.214966","-5.82481","-20.51","23.206","-0.512207","0.85498","0.0773926","1","-0.601074","-0.280273","-0.748047","-0.977539","196727"
"[31440]",,"5170","10480","0","-6.08885","-20.4462","0.2","23.7141","2.13672","0.223633","-5.98878","-20.1686","23.2845","-0.448242","0.87793","0.168579","1","-0.691895","-0.212769","-0.689941","-0.993652","196727"
"[31441]",,"3088","10480","0","-5.83119","-20.6879","0.2","23.7162","2.16016","0.224609","-5.72803","-20.3946","23.2662","-0.512695","0.847168","0.139038","1","-0.621094","-0.246704","-0.744141","-0.977539","196727"
"[31442]",,"5172","10480","0","-6.01412","-20.3763","0.2","23.7489","2.13867","0.230469","-5.91475","-20.0988","23.3211","-0.471924","0.856934","0.206909","1","-0.677246","-0.193604","-0.709473","-0.987305","196727"
"[31443]",,"3330","10481","0","-6.38981","-20.8454","0.2","23.6663","2.125","0.196533","-6.28277","-20.5756","23.2156","-0.647461","0.464111","-0.604004","1","0.343994","-0.523438","-0.779785","-0.349854","196727"
"[31444]",,"2995","10481","0","-6.51678","-20.4106","0.2","23.7405","2.10938","0.211182","-6.41492","-20.1628","23.3185","-0.681641","0.681152","-0.268311","1","-0.130249","-0.470947","-0.872559","-0.745605","196727"
"[31445]",,"3325","10481","0","-6.5358","-20.4346","0.2","23.6856","2.10547","0.206909","-6.43471","-20.1781","23.2628","-0.494873","0.249756","-0.832031","1","0.672363","-0.499268","-0.546387","0.0487671","196727"
"[31446]",,"3330","10482","0","-6.38981","-20.8454","0.2","23.6663","2.125","0.196533","-6.28277","-20.5756","23.2156","-0.647461","0.464111","-0.604004","1","0.343994","-0.523438","-0.779785","-0.349854","196727"
"[31447]",,"3003","10482","0","-6.42979","-20.34","0.2","23.7825","2.11328","0.216919","-6.32823","-20.0947","23.3633","-0.375","0.917969","0.129028","1","-0.710449","-0.192993","-0.676758","-0.995605","196727"
"[31448]",,"2995","10482","0","-6.51678","-20.4106","0.2","23.7405","2.10938","0.211182","-6.41492","-20.1628","23.3185","-0.681641","0.681152","-0.268311","1","-0.130249","-0.470947","-0.872559","-0.745605","196727"
"[31449]",,"3003","10483","0","-6.42979","-20.34","0.2","23.7825","2.11328","0.216919","-6.32823","-20.0947","23.3633","-0.375","0.917969","0.129028","1","-0.710449","-0.192993","-0.676758","-0.995605","196727"
"[31450]",,"3330","10483","0","-6.38981","-20.8454","0.2","23.6663","2.125","0.196533","-6.28277","-20.5756","23.2156","-0.647461","0.464111","-0.604004","1","0.343994","-0.523438","-0.779785","-0.349854","196727"
"[31451]",,"3861","10483","0","-6.32234","-20.7379","0.2","23.7392","2.12891","0.204712","-6.21559","-20.4779","23.2938","-0.474609","0.879395","0.0412292","1","-0.578613","-0.273193","-0.768555","-0.973633","196727"
"[31452]",,"3840","10484","0","-6.23417","-20.6044","0.2","23.7207","2.13281","0.211792","-6.13032","-20.337","23.2828","-0.198608","0.956543","0.2146","1","-0.874023","-0.0733643","-0.480713","-0.967285","196727"
"[31453]",,"3003","10484","0","-6.42979","-20.34","0.2","23.7825","2.11328","0.216919","-6.32823","-20.0947","23.3633","-0.375","0.917969","0.129028","1","-0.710449","-0.192993","-0.676758","-0.995605","196727"
"[31454]",,"3861","10484","0","-6.32234","-20.7379","0.2","23.7392","2.12891","0.204712","-6.21559","-20.4779","23.2938","-0.474609","0.879395","0.0412292","1","-0.578613","-0.273193","-0.768555","-0.973633","196727"
"[31455]",,"3861","10485","0","-6.32234","-20.7379","0.2","23.7392","2.12891","0.204712","-6.21559","-20.4779","23.2938","-0.474609","0.879395","0.0412292","1","-0.578613","-0.273193","-0.768555","-0.973633","196727"
"[31456]",,"3136","10485","0","-6.09139","-21.0371","0.2","23.6753","2.15234","0.198608","-5.98172","-20.752","23.2085","-0.18042","0.95166","0.248901","1","-0.884277","-0.0449524","-0.464355","-0.95752","196727"
"[31457]",,"3840","10485","0","-6.23417","-20.6044","0.2","23.7207","2.13281","0.211792","-6.13032","-20.337","23.2828","-0.198608","0.956543","0.2146","1","-0.874023","-0.0733643","-0.480713","-0.967285","196727"
"[31458]",,"3331","10486","0","-6.01529","-20.924","0.2","23.6227","2.1543","0.206787","-5.90958","-20.6263","23.1631","-0.279053","0.932129","0.22998","1","-0.824707","-0.101868","-0.556641","-0.984375","196727"
"[31459]",,"3840","10486","0","-6.23417","-20.6044","0.2","23.7207","2.13281","0.211792","-6.13032","-20.337","23.2828","-0.198608","0.956543","0.2146","1","-0.874023","-0.0733643","-0.480713","-0.967285","196727"
"[31460]",,"3136","10486","0","-6.09139","-21.0371","0.2","23.6753","2.15234","0.198608","-5.98172","-20.752","23.2085","-0.18042","0.95166","0.248901","1","-0.884277","-0.0449524","-0.464355","-0.95752","196727"
"[31461]",,"3136","10487","0","-6.09139","-21.0371","0.2","23.6753","2.15234","0.198608","-5.98172","-20.752","23.2085","-0.18042","0.95166","0.248901","1","-0.884277","-0.0449524","-0.464355","-0.95752","196727"
