submesh,gpu_id,vertex_id,error_exact,error_diag_block0,late_factor_6bit,active_influences,local_x,local_y,local_z,pred_exact_x,pred_exact_y,pred_exact_z,pix_x,pix_y,pix_z
Head,GpuId7158,4561,0.527701629,0.415929780,63,6,-0.028138507,1.281670220,-2.993065854,-10.970713848,-10.146494136,27.575086192,-10.972300000,-10.673700000,27.597900000
Head,GpuId7158,4401,0.527654879,0.415880178,63,6,-0.010079646,1.285266428,-3.032970435,-11.044359443,-10.186855343,27.576059329,-11.046000000,-10.714000000,27.599200000
Head,GpuId7158,4478,0.527608135,0.415829285,63,6,-0.034266450,1.295750286,-2.998290131,-10.984384842,-10.103942242,27.567883411,-10.986300000,-10.631000000,27.591900000
Head,GpuId7158,4480,0.527586247,0.415816165,63,6,-0.023542550,1.274904474,-3.009516768,-10.995732643,-10.173402114,27.588959128,-10.997300000,-10.700500000,27.611600000
Head,GpuId7158,4489,0.527586247,0.415816165,63,6,-0.023542550,1.274904474,-3.009516768,-10.995732643,-10.173402114,27.588959128,-10.997300000,-10.700500000,27.611600000
Head,GpuId7158,4953,0.527564358,0.415800757,63,6,0.016196230,1.272893036,-3.045975549,-11.068680149,-10.275575675,27.570191656,-11.069900000,-10.802700000,27.591700000
Head,GpuId7158,4957,0.527563326,0.415806323,63,6,0.014896364,1.261251077,-3.034304293,-11.043052364,-10.294844889,27.578576724,-11.044100000,-10.822000000,27.599300000
Head,GpuId7158,5017,0.527563326,0.415806323,63,6,0.014896364,1.261251077,-3.034304293,-11.043052364,-10.294844889,27.578576724,-11.044100000,-10.822000000,27.599300000
Head,GpuId7158,4476,0.527545204,0.415769726,63,6,-0.029159831,1.284352138,-3.011962174,-11.002627328,-10.141179681,27.585139736,-11.004400000,-10.668200000,27.608600000
Head,GpuId7158,4951,0.527501741,0.415744368,63,6,0.018703116,1.265639669,-3.040640118,-11.057080396,-10.295612691,27.572924131,-11.058200000,-10.822700000,27.593800000
Head,GpuId7158,4475,0.527418673,0.415642138,63,6,-0.040069426,1.307087482,-2.973280296,-10.947328227,-10.063648272,27.544148478,-10.949500000,-10.590500000,27.568500000
Body_02,GpuId7153,1284,0.527375326,0.417907854,63,6,-0.121987563,0.826502979,-1.995664663,-8.738391632,-10.791503420,27.364396016,-8.793730000,-11.315900000,27.372800000
Wing,GpuId7157,5600,0.527369924,0.635431046,63,6,6.624898552,1.904911666,1.724742999,-1.556113534,-25.787837241,20.334239537,-1.630730000,-25.307000000,20.130900000
Head,GpuId7158,4494,0.527311775,0.415544857,63,6,-0.031248902,1.296116002,-2.934820728,-10.881940117,-10.101574185,27.522927604,-10.883600000,-10.628400000,27.545500000
Head,GpuId7158,4408,0.527309707,0.415535818,63,6,-0.043179821,1.315011329,-2.940823089,-10.897293571,-10.035650753,27.516794838,-10.899500000,-10.562400000,27.541000000
Head,GpuId7158,4382,0.527207211,0.415448558,63,6,-0.000005679,1.266675865,-3.019076082,-11.015593569,-10.246724846,27.578800377,-11.016900000,-10.773500000,27.600100000
Head,GpuId7158,4973,0.527207211,0.415448558,63,6,-0.000005679,1.266675865,-3.019076082,-11.015593569,-10.246724846,27.578800377,-11.016900000,-10.773500000,27.600100000
