submesh,gpu_id,vertex_id,nearest_distance,reforward_error,world_x,world_y,world_z,local_x,local_y,local_z
Wing,GpuId7157,5799,9.844697303,0.000000000,-5.279018093,-30.054994038,30.040289671,5.785266220,-1.746706264,-2.531776304
Wing,GpuId7157,3221,9.823303714,0.000000000,-5.279018093,-30.054994038,30.040289671,5.781878711,-1.768786953,-2.505388102
Wing,GpuId7157,3371,9.823303714,0.000000000,-5.279018093,-30.054994038,30.040289671,5.781878711,-1.768786953,-2.505388102
Wing,GpuId7157,3373,9.809043638,0.000000000,-5.279018093,-30.054994038,30.040289671,5.758316865,-1.844362774,-2.412441881
Wing,GpuId7157,3055,9.799442331,0.000000000,-5.279018093,-30.054994038,30.040289671,5.740020781,-2.176133995,-1.817274106
Wing,GpuId7157,3435,9.797390991,0.000000000,-4.552189337,-16.421283790,21.038499274,4.078815938,3.178077001,0.316036595
Wing,GpuId7157,3634,9.793537842,0.000000000,-5.279018093,-30.054994038,30.040289671,5.676264311,-2.120488553,-1.962871791
Wing,GpuId7157,3346,9.774278021,0.000000000,-5.279018093,-30.054994038,30.040289671,5.725812155,-1.970971992,-2.230720984
Wing,GpuId7157,5780,9.769416369,0.000000000,-4.698852660,-16.658073917,22.481721802,3.759353737,2.527837966,0.041035152
Wing,GpuId7157,3504,9.765791944,0.000000000,-4.552189337,-16.421283790,21.038499274,4.082710984,3.188048646,0.323545542
Wing,GpuId7157,5086,9.765791944,0.000000000,-4.552189337,-16.421283790,21.038499274,4.082710984,3.188048646,0.323545542
Wing,GpuId7157,2770,9.747106090,0.000000000,-4.698852660,-16.658073917,22.481721802,3.787159237,2.540725127,0.018186911
Wing,GpuId7157,5828,9.744046107,0.000000000,-5.279018093,-30.054994038,30.040289671,5.716648535,-1.968878237,-2.236537411
Wing,GpuId7157,5825,9.727996791,0.000000000,-5.279018093,-30.054994038,30.040289671,5.662750954,-2.167293216,-1.858456044
Wing,GpuId7157,5591,9.715409178,0.000000000,-4.552189337,-16.421283790,21.038499274,4.077763987,3.180478164,0.316026951
Wing,GpuId7157,5218,9.712062183,0.000000000,-5.279018093,-30.054994038,30.040289671,5.707289481,-2.020939710,-2.149839723
Wing,GpuId7157,5572,9.697169610,0.000000000,-4.552189337,-16.421283790,21.038499274,4.083394439,3.188036335,0.321540558
Wing,GpuId7157,3662,9.690843228,0.000000000,-5.279018093,-30.054994038,30.040289671,5.760866378,-1.825007283,-2.438056545
Wing,GpuId7157,5826,9.684484054,0.000000000,-5.279018093,-30.054994038,30.040289671,5.680387358,-2.079290366,-2.046695832
Wing,GpuId7157,3343,9.681906778,0.000000000,-5.279018093,-30.054994038,30.040289671,5.745613139,-1.874369272,-2.373668494
Wing,GpuId7157,5722,9.679218690,0.000000000,-5.279018093,-30.054994038,30.040289671,5.656611249,-2.188951380,-1.805350073
Wing,GpuId7157,3344,9.676433449,0.000000000,-5.279018093,-30.054994038,30.040289671,5.757484987,-1.835915855,-2.424206244
Wing,GpuId7157,3656,9.676433449,0.000000000,-5.279018093,-30.054994038,30.040289671,5.757484987,-1.835915855,-2.424206244
Wing,GpuId7157,3453,9.656685355,0.000000000,-5.279018093,-30.054994038,30.040289671,5.691026169,-2.080729650,-2.041902789
Wing,GpuId7157,5869,9.644975986,0.000000000,-5.279018093,-30.054994038,30.040289671,5.654335684,-2.197003652,-1.784680881
Wing,GpuId7157,3548,9.634336415,0.000000000,-4.698852660,-16.658073917,22.481721802,3.847911834,2.553775083,-0.000121504
Wing,GpuId7157,3639,9.629185899,0.000000000,-5.279018093,-30.054994038,30.040289671,5.663799078,-2.136056803,-1.930576447
Wing,GpuId7157,5873,9.628647006,0.000000000,-4.698852660,-16.658073917,22.481721802,3.795609844,2.540034479,0.015843768
Wing,GpuId7157,5419,9.621629335,0.000000000,-5.279018093,-30.054994038,30.040289671,5.655727554,-2.201899419,-1.771093632
Wing,GpuId7157,5830,9.601318520,0.000000000,-5.279018093,-30.054994038,30.040289671,5.721575056,-1.941888949,-2.278620764
Wing,GpuId7157,3295,9.597259725,0.000000000,-4.698852660,-16.658073917,22.481721802,3.821970590,2.545422908,0.005370568
Wing,GpuId7157,2740,9.596901501,0.000000000,-5.279018093,-30.054994038,30.040289671,5.672866984,-2.142431716,-1.914718560
Wing,GpuId7157,3638,9.588462832,0.000000000,-5.279018093,-30.054994038,30.040289671,5.726108642,-1.926985008,-2.300650195
Wing,GpuId7157,3660,9.588462832,0.000000000,-5.279018093,-30.054994038,30.040289671,5.726108642,-1.926985008,-2.300650195
Wing,GpuId7157,3053,9.585804504,0.000000000,-4.698852660,-16.658073917,22.481721802,3.749948167,2.527844084,0.045027382
Wing,GpuId7157,3512,9.580245474,0.000000000,-4.552189337,-16.421283790,21.038499274,4.098454753,3.188315622,0.321434390
Wing,GpuId7157,2686,9.575938698,0.000000000,-5.279018093,-30.054994038,30.040289671,5.725542591,-1.939702266,-2.281038074
Wing,GpuId7157,3366,9.569416974,0.000000000,-5.279018093,-30.054994038,30.040289671,5.655227389,-2.173774038,-1.844430122
Wing,GpuId7157,5871,9.558222376,0.000000000,-4.698852660,-16.658073917,22.481721802,3.839671985,2.555906777,0.002021596
Wing,GpuId7157,3054,9.553752679,0.000000000,-5.279018093,-30.054994038,30.040289671,5.663379126,-2.182946068,-1.820286593
Wing,GpuId7157,3531,9.540413900,0.000000000,-4.552189337,-16.421283790,21.038499274,4.110267585,3.216798322,0.340520153
