local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
4268,12774,58996,0.005576237,1.350785634,0.525165771,0.461124467,2.595483899,0.705903650,1.337708541,67401b38ec38583814ca170050445101523431017b4819130b060000fffffdfff05b905a0354381a,c15c3d6bb14220f2adb9953a044f9bca20efec741034000000000000d02f000000000000ffffffff
4269,12775,58997,0.008526192,1.331577914,0.531958798,0.913722742,2.650254426,1.290537573,1.770234531,964051374a39e238c9353642503411054c48510192352f0801000000fffffdff6a53ba5dbb442817,ec787d6d4b62475f90ae2729f452cad2d0fe8c6e1034000000000000ff00000000000000ffffffff
4270,12776,58998,0.003567758,1.356395810,0.521480192,0.975169659,2.625816881,1.308676401,1.781886074,47405638b938003863dac24a50541005524cd004513b383604010000fffffdffdb003c565e52b0f7,bf7c7c6c46631dc628acdd306653e1d21accfa151034000000000000ff00000000000000ffffffff
4271,12777,58999,0.027920571,1.438741776,0.450370207,0.972094174,2.637132320,1.295668476,1.744171109,cb41b83be134c625b00165ba46f8d00300000000fb04000000000000fffffffff60f9f52ff2f2b3d,8e7cf36c9262e1958bacbb306153cfd24eed377c1034000000000000ff00000000000000ffffffff
4272,12778,59000,0.013484625,1.442545285,0.529140414,0.970211225,2.605087758,1.376751204,1.727794791,e540e03b23395a210bd043db3e08f1033d180100e118050200000000ffffffff0d580d565160ca3f,707ca26bf466eb5d37b0472c5d534ad391926e501034000000000000ff00000000000000ffffffff
4273,12779,59001,0.009279371,1.357536862,0.521480192,1.000526711,2.657100742,1.411005404,1.860831176,a2406238b93800396f07401e5044d1044c48010081312e1d02000000fffffeff56157c5a577278e0,537ec56dce683b59b1af7b2db55391d375527f5f1034000000000000ff00000000000000ffffffff
4274,12780,59002,0.020577068,1.363527389,0.492067830,1.013456297,2.694945654,1.464193360,1.924451041,5641a13822370a35eb6e4cba3cf4e0033f180100b6380c0600000000ffffffffdc6a4862c047900b,217f536fae6be75737af9d2efa53f3d312b60d741000000000000000ff00000000000000ffffffff
4275,12781,59003,0.011162321,1.222797562,0.560214899,1.002221365,2.704074076,1.477129018,2.004272846,c040d932d13a68390b2e67404d30a1044e4011057353370200000000ffffffff47513855623e1144,6e7eb36f616c9b5dccaebf2ee9530ed4089a197f1000000000000000ff00000000000000ffffffff
4276,12782,59004,0.001684809,1.343368792,0.526827894,0.980504682,2.698178637,1.427554374,1.898659067,2940cd3703394937c7b2910e154c00055244d1045c462a270c000000ffffffff8352e453e93f1a3b,147d756fb369d7588daec12d9a53d5d34e06ba7d1034000000000000ff00000000000000ffffffff
4277,12783,59005,0.002500753,1.348598616,0.525527102,0.854472601,2.609937232,1.399442805,1.755152355,36400438f1389b37ab99814d15480105514c0000543e323109000000fffffeffb551a2516a3eeb45,3c75d56b2e682f6d98aae92c7252a1d3e670c31d1034000000000000ff00000000000000ffffffff
4278,12784,59006,0.001935869,1.344700020,0.526466563,1.010380813,2.651300391,1.482476720,1.907385948,2d40db37fe38623745c2c60015403101524401005036363112000000ffffffff0053f65211406237,f07e886dab6c014931b0df2ee25303d49ea6bd091000000000000000ff00000000000000ffffffff
4279,12785,59007,0.002689048,1.348788792,0.525527102,1.010380813,2.651300391,1.482476720,1.904660529,39400638f138ab371d7b960515480105514c00004c3c3c300a000000fffffeffad70ae5ce038f814,f07e886dab6c619555ad3e30e25303d431a7bd091000000000000000ff00000000000000ffffffff
4280,12786,59008,0.011978265,1.102226332,0.573150557,0.923074725,2.594818284,1.431601284,1.948041361,cd40e52d843b92393286b8004a30e1044d2c0100d814090801000000ffffffffe94ffa5bcd35518a,8179366beb69a98464ab8b2efb52d3d34365760b1034000000000000ff00000000000000ffffffff
4281,12787,59009,0.020514303,1.266157563,0.444805706,0.907132419,2.664897935,1.428855166,1.926374744,5541a13494342d38c61947001354200551408103705a2f0402000000ffffffff0250d55c34339810,8378176ec569b75cccac562ddd52f3d3331143301034000000000000ff00000000000000ffffffff
4282,12788,59010,0.000178449,1.329581072,0.530079875,0.870979791,2.572282495,1.394890031,1.746567607,11403c373039a636240a38001348510151e00005893d350300000000ffffffffd64f345eff37e18c,4376496aef67a7782fa9b42d955282d3126d050e1034000000000000ff00000000000000ffffffff
4283,12789,59011,0.020200478,1.262639317,0.443577180,0.949498781,2.643883548,1.476406356,1.959124057,50417c3483341e38ac097700154c20055044d1046b62270705000000ffffffffaa74c365984b7010,267b3a6d576cd76d0badb82e47531bd4e03c231a1034000000000000ff00000000000000ffffffff
4284,12790,59012,0.017501584,1.146917561,0.569681778,0.962240072,2.623629864,1.468312536,1.969961238,2541bb2f543b983a08ca78004a30b1044f34e1047d562a0200000000fffffdffeb289e697929c0e4,f17b656ce76b8182b0ac3a2f5f530ad4854d77081034000000000000ff00000000000000ffffffff
4285,12791,59013,0.001182689,1.421530898,0.575607610,0.586591663,2.428795124,1.299859919,1.371796740,2140033ba63b47300afde7f94300e10012000000e80c0a0000000000ffffffff0c724750ba64180c,90646464cc6299821ebb3838465026d2e921aa1a1074d000177c0000fb03010000000000ffffffff
4286,12792,59014,0.020012183,1.238106685,0.557541048,0.572469543,2.315260385,1.253898587,1.396561152,4d417a33ac3a133b4a4e19044c3ca1044b000000783a2d2100000000fffffdff382cdc43932a7f7a,af63ba5f50605da4a0ba3e3835504cd190c26e11107470010d78f001f107050200000000ffffffff
4287,12793,59015,-0.000198141,1.309327388,0.536728370,0.965880441,2.634469864,1.299498587,1.808626223,0b4067368c395536dbe557c04338000412000000f805010100000000ffffffff4175396ac7591818,2b7cd76cc76215ac99aca8305553d6d2dbd2f2371034000000000000ff00000000000000ffffffff
4288,12794,59016,0.020326008,1.188090544,0.564550874,0.988162010,2.623629864,1.438322044,1.939318366,52416c310d3b243bdc0ddd0b4c28b1044f00000071582d0800000000fffffcffd854f34e493e5230,8e7d656c486a31982aac19309453c0d334c7fd091034000000000000ff00000000000000ffffffff
4289,12795,59017,0.002940108,1.336902827,0.529429479,0.844806794,2.664612672,1.261847874,1.734355688,3d4089372739ba374c6e880050442105154cd0044442362d15010000ffffffffe0283f66c52cd8de,a274146ebe60bb522dade42568529cd211860a7e1034000000000000fd02000000000000ffffffff
4290,12796,59018,0.001559279,1.418583179,0.573511889,0.773631306,2.429460738,1.185390186,1.411511143,2740e43a893b8f30d802b6b84300e10041480000c7290d0100000000ffffffff116aa3643767419c,34706b649c5cf191ecbae538b85111d10ae2b901103470011d000000fc02000000000000ffffffff
4291,12797,59019,0.017878174,1.375793705,0.510351190,0.235735421,2.742774778,1.127793989,1.515696093,2b4122391f384e347f7e453e4c3cd1044a0000009a4d0d0c00000000ffffffff04690760c365299b,ba4e4a717f597632cfbad03b044c49d16ca0602b1034d00100000000f708000000000000ffffffff
4292,12798,59020,0.017124994,1.375033003,0.513169574,0.271825285,2.801158638,1.239806669,1.620712200,1f411a3946385b344e96663f4c3cd1044a4001009e48160200000000ffffffffac711365a544199f,f950b0738d5f7c3632bbd63b864c52d2628090291034d00100000000fb04000000000000ffffffff
4293,12799,59021,0.016811169,1.423813004,0.516710620,0.504306774,2.753709866,0.922919184,1.473527409,1a411b3b7738722dfe81e77f4a30b1044d38010099530b0801000000fffffeff4f63c3593343c012,715fbd716c4e10ee9abaae3ad54fa2cf610b5d731034000000000000fa05000000000000ffffffff
4294,12800,59022,0.007710247,1.272813703,0.549880826,0.295927038,2.732315129,1.327971488,1.678880105,8940e734423ac73892d1f9404d4401054c28e104a728220d00000000ffffffffe66fab5db95ae80e,7952dc705164a6c862b4dd3ad74cd1d26d80a1971034d00100000000fc02000000000000ffffffff
4295,12801,59023,0.016873934,1.230689843,0.558841841,0.261343534,2.796594428,1.065572752,1.663910686,1b412c33be3a7b3ae13d18404c28f1044b3401007b52270a01000000fffffdffd55dfa523321e99a,5250807322566c23c6ba9a3b634cf1d0ad7461321034d00100000000f708000000000000ffffffff
4296,12802,59024,0.003191168,1.440073004,0.572355629,0.271825285,2.801158638,1.239806669,1.539548403,4140c63b793b4e28b7d47158544c51055134e1047e42370403000000ffffffff2471ec60ac56e80e,f950b0738d5f64d6d3b4de3a864c52d2678090a91034d00100000000fb04000000000000ffffffff
4297,12803,59025,0.016873934,1.209485281,0.561732491,0.315133122,2.644739338,0.601045328,1.466444084,1b414d32e63a7b3aca8538404c28b1044f3401007b5c151101000000fffffcffa776c165a7496012,ab53436d063d70ff6db9173bbe4c17c8410a997f1034400000000000b14e000000000000ffffffff
4298,12804,59026,0.018443058,1.101085279,0.572716960,0.419887875,2.794692673,0.921618391,1.775160881,3441d92d7e3bc73a49b687004a2cc1044f34e1047b483b0100000000fffffdff0d691361eb5bc199,305a6c735a4e600a95baf03ab24eb3cf155b7b761034000000000000fa05000000000000ffffffff
4299,12805,59027,0.015179279,1.387774757,0.520612997,0.236363071,2.767212322,1.004652307,1.478534517,0041a039ad3837335e12f63e4c34f10450280100aa261b0b09000000ffffffff2368d460d55ad997,c44e4b72d75278228fba953b024c5ad0ba7871721034d00100000000ef10000000000000ffffffff
4300,12806,59028,0.014488865,1.386918968,0.522925517,0.398045661,2.639319338,0.692100797,1.320697838,f5409739cd3855331d52d73f4c34f10450281105a82d161201000000fffffeffff6bc361dd6f8198,d4580a6df24110f5b1b9d03a1e4ea8ca0373cc761034000000000000d02f000000000000ffffffff
4301,12807,59029,0.020639833,1.370468792,0.493079558,0.254439386,2.677354426,0.711684949,1.345511281,5741ea3830379834d4b5293f4f30a1044d2c0100a04c100300000000ffffffff11692056f75b7811,e44f9a6e0143f006b9b94a3bfe4b5ccb3165747a1034400000000000c936000000000000ffffffff
4302,12808,59030,0.014488865,1.276522124,0.548507768,0.319275611,2.712156532,0.707565773,1.476225106,f5400e352f3a053ab05e25024c34f10450280100a32c1d0b07000000ffffffff873a8f69482e2425,ed530870c8424000c5b9173b034d96cb299ec87f1034000000000000cf30000000000000ffffffff
4303,12809,59031,0.028987575,1.289834405,0.489466245,0.250359662,2.626957934,0.603863712,1.360144005,dc419a35fe36903859a439aa0e101001120cf000da1e060101000000ffffffffd55dfa523321201c,a34f886c2d3d980769b9483b864b15c81349147a1034400000000000b14e000000000000ffffffff
4304,12810,59032,-0.000449201,1.251894404,0.558697308,0.512717281,2.250315472,0.763283048,1.141069582,07400b34bc3a3e36a0d57158544c51055134e1047e42370403000000ffffffff6a3a3c5d522e1804,f75f0f5dcb45799d12b91939a84f97c863b36e13105cd0001e600000bf2f110000000000ffffffff
4305,12811,59033,0.029364165,1.291450896,0.492501428,0.538325393,2.287019332,0.833525839,1.168972066,e241ab3528379b3881e1a9a20e101001120cf000e215060101000000ffffffff553baf44c32ae0fa,8f61915e9749218c54b91c39fe4f29cb9d86db03105cd0001e600000d2210c0000000000ffffffff
4306,12812,59034,0.025912091,1.109928437,0.471544217,1.010192518,2.703028111,1.522078623,2.147183519,ab41362e0636cf36c1de34830e0c1001042c2001aa1e1b1506000000ffffffffb82b1273f22ba8dc,ed7ea86fcf6e9762e1aea92f15542ed4b5fd253d1000000000000000ff00000000000000ffffffff
4307,12813,59035,0.000617804,1.416301074,0.576547071,1.026197588,2.684771268,1.549828861,1.899502032,1840cc3ab33b1531cbb5c7ff4338000412000000dd17090200000000ffffffffc53b8542c02bd0ea,ec7fe86e4f70a0057daf4a30375436d4d3456b191000000000000000ff00000000000000ffffffff
4308,12814,59036,0.025598266,1.064761770,0.470966087,0.907760069,2.521886003,1.226581946,1.863431191,a6415b2cfe359a367b0fb28a0e103000112c2001763e252303000000ffffffff42385254f930402a,8d783768d65e48d059bb2939f952c2d165b72e5a1034000000000000fd02000000000000ffffffff
4309,12815,59037,0.029301400,1.299533353,0.490550239,1.026197588,2.684771268,1.549828861,2.008670528,e14100360d37bd38660989bd0e484000110c0000f708000000000000ffffffffb92bd96d712a08e5,ec7fe86e4f70f18644af5830375436d4c5456b191000000000000000ff00000000000000ffffffff
4310,12816,59038,0.000492274,1.417347039,0.577269733,1.016657311,2.703883900,1.515285596,1.888820329,1640d73abd3bfd3024c5d8f94338000412000000e516040100000000ffffffffbd3baa3c382b20d9,547fb16f716e035b1aaf9d2f1c5424d48b2d4b3d1000000000000000ff00000000000000ffffffff
4311,12817,59039,0.025974856,1.045268787,0.472628210,0.918179056,2.520364599,1.256500172,1.893776977,ac418e2b15369036a7b340960e103000112c20006d3530210c000000ffffffffaf61a559732800e5,33792768746059ad67bb1d390b5307d2e5165f111034000000000000fe01000000000000ffffffff
4312,12818,59040,0.001998634,1.224414053,0.562671952,0.909078134,2.498114072,1.257078302,1.710936918,2e40ea32f33a6f37639059604e34110554543105d5190a0403010000ffffffff2e5baa5108268770,a2783d677c60a9a55cbb1639f452f1d1dfba7e0f1034000000000000fe01000000000000ffffffff
4313,12819,59041,0.001998634,1.431800372,0.575390811,1.022996574,2.696752321,1.509070698,1.874646196,2e406f3ba33b632db2cc155552541105543431058c59150500000000ffffffff88629158052968e1,b97f666f1b6ed54b59af922f1f5419d4b3d17e701000000000000000ff00000000000000ffffffff
4314,12820,59042,0.002500753,1.217282474,0.563466880,0.868155367,2.681443198,1.345893517,1.872248909,36409f32fe3aaa3754f879614e34110552505105eb0f050100000000ffffffffb25a84516826776d,1676c56e49653b56caacf22a8f5252d3029a453e1034000000000000ff00000000000000ffffffff
