local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
54,19908,66130,-0.063420602,1.742655235,-1.694110621,0.165355928,1.186157392,-3.072986170,1.504435552,463815397644065ad6ec8a75617071065d4422067764180c00000000ffffffffd93fed431e1c99b1,864b6b1501142cc06f36903bb9483d5ac25bde5625180000000000009d62000000000000fffffeff
55,19909,66131,-0.065881064,1.733939004,-1.875959907,0.164705995,1.210599412,-3.054089851,1.309597222,11388638123ebf594bfa9c37089c21065c401209ba27180302000000fffffffff3413542351c75b9,784bfc16ab1488044c369c3bb548355ab6767a7c2518000000000000a35c000000000000fffffdff
56,19910,66132,-0.064720469,1.733939004,-1.767472802,0.143583162,1.161044894,-3.090882097,1.457055326,2a388638e241c059b3217d78678881005c4012065f593b0b01000000ffffffff5244b93c5e18f8ca,b149cf136013f7b0a336813b1a48455ae18f1f5725180000000000008877000000000000fffffeff
57,19911,66133,-0.063559873,1.740765702,-1.691665215,0.148364814,1.179818315,-3.084657427,1.516575533,4338f6388c44f759dbdc89785c8471065d8811096e49440201000000ffffffff62417d3ffd1917bf,184a0315981358c18e36903b3d48435af39b8f5e25180000000000009669000000000000fffffeff
58,19912,66134,-0.064813316,1.737779022,-1.789259147,0.156674676,1.177075445,-3.102108733,1.444652023,2838c5381e41e15922310d766770210661448200a939100a01010000ffffffffa9587a273222f8ef,cb4ad614fb12bdb5a736903b7a484b5af8e3ef1a25180000000000009f60000000000000fffffdff
59,19913,66135,-0.040023002,1.738327596,-1.463130904,0.172319500,1.193593618,-3.056757567,1.697489436,3e3ace38944c915972d1fc4a76d0210775c4c10784291f1e0d090000fffffeff90414844c51ed1bb,1c4ce5159314aec35336913bec48365ae1b3df5e25180000000000009f60000000000000fffffeff
60,19914,66136,-0.064859740,1.730098986,-1.782367548,0.159413681,1.167749687,-3.053422922,1.407876793,273847385c419b59183efd37088871065c400206f804020000000000ffffffffb244023f191aa6c8,064b3d14b1144bb964367f3b8e48345ad01f7f572518000000000000837c000000000000fffffeff
61,19915,66137,-0.063559873,1.737657116,-1.684440151,0.190656904,1.214561335,-3.004514801,1.442516013,4338c338cd44df59f6d4d87a67702106612010097a601b0900000000ffffffff24427f43731dbac5,a74d3d17691684d3f9358e3b72491f5ab64b7f6425180000000000009a65000000000000fffffdff
62,19916,66138,-0.064720469,1.731988518,-1.760136584,0.213961656,1.273990184,-2.909477429,1.268231280,2a3866382442ad595ea5bd74088871065c400206cf1a120300000000ffffffff0e453d405e1b6cca,9d4f0c1bc01914ca4b35903b1d4af459bee73f640694800000000000827d000000000000fffffdff
63,19917,66139,-0.063467026,1.735584726,-1.677548553,0.205651795,1.259483450,-2.925706033,1.362715840,4538a1380b45cc590b4d397b6788c105088401066859380401000000ffffffff57433a455121e3c1,ea4e1e1a2e19decb6d35903be049fb59aeb3af610694800000000000817e000000000000fffffdff
64,19918,66140,-0.063977688,1.726380873,-1.713785024,0.208437223,1.282950226,-2.924149866,1.317506612,3a380a38c5437759b7151c7b08888106609cc105fe01000000000000ffffffff8645f142a31ed0c5,264f9f1b3c19b8f45735993bf449fb590b5bec732518800000000000827d000000000000fffffdff
65,19919,66141,-0.063188483,1.730403749,-1.668545012,0.202587823,1.264664427,-2.937377289,1.377492471,4b384c385c459e594b5d3a7c088871065c808106c52e060402010000ffffffff014535424c1dbbc5,a84e731ac51850f27835983bca49015a2ac31c742518800000000000827d000000000000fffffdff
66,19920,66142,-0.063467026,1.732354234,-1.678548946,0.189728428,1.256923438,-2.967500246,1.396974528,45386c380245b0596f2d4a7d622070065c8081067b452b1301000000ffffffffeb3f5647bb217fb6,934df419b6171003a8359d3b6c490e5a97b6697a25188000000000008b74000000000000fffffdff
67,19921,66143,-0.065695369,1.725283725,-1.870513321,0.196227761,1.216085152,-2.975503393,1.244544082,1538f837433e6f592632cd370888810660000000ff00000000000000fffffffff54fb020bb1a80e0,1f4e56176e1722bdcf35853b9b49115ab8b7af5a25180000000000008976000000000000fffffdff
68,19922,66144,-0.043644059,1.752956235,-1.530157260,0.200173785,1.293677896,-2.902141211,1.467216308,f039be39394af959e880fd087dec210774e8c107553c342c07060000fffffdff28505a21811a98cf,744e4f1c021ae0fc34359f3bb849f15997567a780694800000000000817e000000000000fffffdff
69,19923,66145,-0.044061874,1.752834330,-1.528267628,0.211640466,1.282218794,-2.893471135,1.466507171,e739bc394a4afb598bbc3f5b7dc8b10774f0a1075838372a0a040000fffffdff3150be24af1c99c2,6b4f931b501a02cd3035913b0c4aed59a6d3ff640694800000000000837c000000000000fffffdff
70,19924,66146,-0.043133398,1.748872407,-1.528267628,0.192421009,1.195117434,-2.997845512,1.588014358,fb397b394a4adb5974f80f1e72d0c1077de4b107a52a111008080000fffffdff7450d923c31be5c2,cd4dfe15a51651bffc35803b7f491b5abfab4f5b25180000000000008976000000000000fffffeff
71,19925,66147,-0.043736907,1.750274318,-1.525599913,0.198873918,1.229555691,-2.979171502,1.562970974,ee399239624ae8597bf82f5e72f441077cece108783c27150a040000fffffdff365129260c1d28d5,584e33184d1728d0ca358f3bae49135ab673df622518000000000000926d000000000000fffffdff
72,19926,66148,-0.043319093,1.747531448,-1.518486004,0.191631804,1.238698591,-2.985173862,1.570122948,f7396539a24ad559a22c0f1272d0c1078ed4d10797261e170a030000fffffdffc050da22d61ba8c0,bc4dc918171750f6ce35983b7949165a07df3b7525180000000000009669000000000000fffffdff
73,19927,66149,-0.043365517,1.750822892,-1.522709887,0.207462323,1.244489094,-2.956162454,1.540803291,f6399b397c4ae85972f40f1e72f441077bf091076b4a2a140a030000fffffdffcd50f725f01d82c2,114f28191c189cd49f358e3bed49095ab577ef6625188000000000008976000000000000fffffdff
74,19928,66150,-0.042297769,1.746800016,-1.522487578,0.214147352,1.299773162,-2.879910247,1.451961918,0d3a59397e4aca5981d40f1b72d0c1078ee46107ae2a160705040000fffffdff9050d9235b1d9cdc,a14fb31cca1a14d21035953b1e4ae7599d9f8f652518800000000000837c000000000000fffffdff
75,19929,66151,-0.042158498,1.748811454,-1.524599519,0.207369475,1.308306536,-2.887246465,1.453655905,103a7a396b4ad459b1f44d0b72d091077bf4a107932d1d1507060000fffffdffa550cc23ab1dacdc,0f4f3f1d881ab0f814359d3bed49ea59dd923b762518800000000000847b000000000000fffffdff
76,19930,66152,-0.041879955,1.748384786,-1.523821436,0.175383471,1.180123079,-3.024189204,1.619020755,163a7339724ad059dcc89c0772d091077be8c107872d281906040000fffffdff8051d826c91d7cd6,5e4c0815b8155fbb2f367f3b0349275ace478f5825180000000000008877000000000000fffffeff
