submesh,gpu_id,vertex_id,error_exact,error_translation_only,error_affine,late_x,late_y,late_z,pix_x,pix_y,pix_z
Wing,GpuId7157,5613,0.376723084,0.512802512,0.452148144,7.770047665,-3.294405699,2.180458069,-1.482510000,-19.665400000,22.308200000
Wing,GpuId7157,44,0.339353707,0.472840601,0.449914431,-6.650769711,-2.821591377,2.342952490,-9.540900000,-17.447100000,34.342700000
Wing,GpuId7157,4879,0.375649144,0.509029149,0.449115470,7.517352104,-3.460611820,1.977427006,-1.771840000,-19.954900000,22.385400000
Wing,GpuId7157,5108,0.336611663,0.471096200,0.448999404,-6.711584568,-2.766144037,2.306164265,-9.600320000,-17.348000000,34.358300000
Wing,GpuId7157,3934,0.373818771,0.509562884,0.448795971,7.766579628,-3.296983957,2.215547562,-1.456690000,-19.671100000,22.329800000
Wing,GpuId7157,5275,0.373818771,0.509562884,0.448795971,7.766579628,-3.296983957,2.215547562,-1.456690000,-19.671100000,22.329800000
Wing,GpuId7157,569,0.338116744,0.470868386,0.446711280,-7.056023121,-3.092699289,2.426709414,-9.710040000,-17.873400000,34.732800000
Wing,GpuId7157,606,0.338116744,0.470868386,0.446711280,-7.056023121,-3.092699289,2.426709414,-9.710040000,-17.873400000,34.732800000
Wing,GpuId7157,4962,0.389877466,0.523775284,0.446067329,9.200653076,-6.734461784,0.335887432,-2.178260000,-25.871300000,20.306500000
Wing,GpuId7157,2771,0.387964870,0.521602787,0.445698428,9.128351212,-6.261077881,0.662700176,-1.958130000,-25.026500000,20.519300000
Wing,GpuId7157,1103,0.344601735,0.478241491,0.445291743,-8.907372475,-5.940119743,1.450054169,-11.532300000,-22.671800000,35.849500000
Wing,GpuId7157,1108,0.342173696,0.475080099,0.441922670,-8.848318100,-6.067771912,1.250279188,-11.661000000,-22.916100000,35.700900000
Wing,GpuId7157,5860,0.383735456,0.518133899,0.441776244,9.381507874,-5.969309807,1.046210289,-1.515940000,-24.520800000,20.524200000
Wing,GpuId7157,3092,0.384916807,0.517983945,0.441310799,9.317626953,-6.027497292,1.094628811,-1.507540000,-24.616700000,20.594000000
Wing,GpuId7157,5109,0.331067414,0.464117484,0.440810759,-6.873408318,-2.963968277,2.331941128,-9.676880000,-17.681200000,34.523900000
Wing,GpuId7157,5110,0.327117814,0.458920173,0.434963176,-7.049235344,-3.138215065,2.286231518,-9.818820000,-17.975300000,34.653500000
