submesh,gpu_id,vertex_id,stage1_direct_error,stage1_affine_error,u76_affine_error,local_x,local_y,local_z,stage1_world_x,stage1_world_y,stage1_world_z,stage1_affine_x,stage1_affine_y,stage1_affine_z,u76_affine_x,u76_affine_y,u76_affine_z,pix_world_x,pix_world_y,pix_world_z,codes,weights
Wing,GpuId7157,756,38.753815319,1.105940949,2.996939389,-5.415724960,1.707639303,3.509761668,-11.305778232,-4.322421152,3.780872650,-10.398442027,-20.118971000,38.471829735,-10.567312485,-18.285929906,37.984531241,-10.107900000,-21.169200000,38.660800000,60 61 62 63 0 0,213 32 5 5 0 0
Wing,GpuId7157,3172,38.753815319,1.105940949,2.996939389,-5.415724960,1.707639303,3.509761668,-11.305778232,-4.322421152,3.780872650,-10.398442027,-20.118971000,38.471829735,-10.567312485,-18.285929906,37.984531241,-10.107900000,-21.169200000,38.660800000,60 61 62 63 0 0,213 32 5 5 0 0
Wing,GpuId7157,755,38.720735623,1.105750895,2.972189819,-5.395766781,1.678422487,3.530562909,-11.298538134,-4.334770218,3.853705086,-10.336253710,-20.134729722,38.507991903,-10.515762736,-18.324497945,38.037409945,-10.042500000,-21.184500000,38.693400000,60 61 63 62 0 0,214 32 5 4 0 0
Wing,GpuId7157,1,38.793039384,1.103356573,3.018356469,-5.445905621,1.698170648,3.510150476,-11.322450336,-4.380674987,3.763159288,-10.420107831,-20.224895172,38.479638135,-10.606886818,-18.366874422,38.003108832,-10.127600000,-21.272500000,38.665000000,60 61 62 63 0 0,213 32 5 5 0 0
Wing,GpuId7157,3255,38.793039384,1.103356573,3.018356469,-5.445905621,1.698170648,3.510150476,-11.322450336,-4.380674987,3.763159288,-10.420107831,-20.224895172,38.479638135,-10.606886818,-18.366874422,38.003108832,-10.127600000,-21.272500000,38.665000000,60 61 62 63 0 0,213 32 5 5 0 0
Wing,GpuId7157,3,38.803043820,1.100334456,3.013865785,-5.458075243,1.664350287,3.526091614,-11.330234488,-4.448080931,3.803788908,-10.390344393,-20.342408725,38.514003086,-10.603086127,-18.483776049,38.062968642,-10.093200000,-21.386700000,38.692600000,60 61 63 62 0 0,214 32 5 4 0 0
Wing,GpuId7157,688,38.700240691,1.098849528,2.942248415,-5.397227135,1.678657895,3.510928093,-11.263699168,-4.331591491,3.833865842,-10.333774382,-20.134469396,38.470172086,-10.509493109,-18.346795641,38.002928759,-10.041800000,-21.177800000,38.653700000,60 61 62 63 0 0,214 32 5 5 0 0
Wing,GpuId7157,3454,38.700240691,1.098849528,2.942248415,-5.397227135,1.678657895,3.510928093,-11.263699168,-4.331591491,3.833865842,-10.333774382,-20.134469396,38.470172086,-10.509493109,-18.346795641,38.002928759,-10.041800000,-21.177800000,38.653700000,60 61 62 63 0 0,214 32 5 5 0 0
Wing,GpuId7157,668,38.713637014,1.098430460,2.951664569,-5.406962832,1.649911896,3.531534930,-11.281361897,-4.388557162,3.877362145,-10.307159791,-20.231738557,38.512747624,-10.506423995,-18.432654032,38.065238425,-10.010900000,-21.274300000,38.691200000,60 61 63 62 0 0,214 32 5 4 0 0
Wing,GpuId7157,919,38.713637014,1.098430460,2.951664569,-5.406962832,1.649911896,3.531534930,-11.281361897,-4.388557162,3.877362145,-10.307159791,-20.231738557,38.512747624,-10.506423995,-18.432654032,38.065238425,-10.010900000,-21.274300000,38.691200000,60 61 63 62 0 0,214 32 5 4 0 0
Wing,GpuId7157,3891,27.788376806,1.096105850,2.568265062,5.430328506,1.667776789,3.574498241,12.270341534,-4.003671917,3.003243181,1.408973915,-21.986245339,20.087370533,1.007497512,-20.548881366,20.315880881,1.709750000,-23.019200000,20.297100000,79 76 77 0 0 0,218 32 5 0 0 0
Wing,GpuId7157,2517,38.749366221,1.095687750,2.968088023,-5.434709569,1.643372770,3.528424464,-11.293509514,-4.439382683,3.854005342,-10.331101866,-20.325198987,38.513331355,-10.545110277,-18.506455347,38.075067952,-10.033400000,-21.365000000,38.688600000,60 61 63 62 0 0,214 32 5 4 0 0
Wing,GpuId7157,111,38.775344485,1.095630675,2.985485889,-5.450773470,1.670183188,3.508789647,-11.297189912,-4.424270333,3.789062486,-10.385178399,-20.303977861,38.478623853,-10.587867087,-18.468970384,38.024878714,-10.090500000,-21.344000000,38.657300000,60 61 62 63 0 0,214 32 5 5 0 0
Wing,GpuId7157,917,38.775344485,1.095630675,2.985485889,-5.450773470,1.670183188,3.508789647,-11.297189912,-4.424270333,3.789062486,-10.385178399,-20.303977861,38.478623853,-10.587867087,-18.468970384,38.024878714,-10.090500000,-21.344000000,38.657300000,60 61 62 63 0 0,214 32 5 5 0 0
